checking_balance,months_loan_duration,funded_amnt,total_rec_prncp,recoveries,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,24,2800,321.07,1241.02,good,furniture/appliances,7721,unknown,< 1 year,1,2,30,none,own,1,skilled,1,yes,no
1 - 200 DM,14,15000,8713.44,6643.345626,good,business,1410,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,yes,no
1 - 200 DM,6,13800,1943.24,6104.11,poor,business,1449,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no,no
> 200 DM,15,21600,3325.35,9527.55,good,education,392,< 100 DM,< 1 year,4,4,23,none,rent,1,skilled,1,yes,no
1 - 200 DM,18,5000,5000,0,good,car,6260,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no,no
unknown,36,2400,2400,0,critical,car,7855,< 100 DM,1 - 4 years,4,2,25,store,own,2,skilled,1,yes,yes
< 0 DM,12,10000,10000,0,good,furniture/appliances,1680,500 - 1000 DM,> 7 years,3,1,35,none,own,1,skilled,1,no,no
unknown,48,3000,2233.1,0,critical,furniture/appliances,3578,unknown,> 7 years,4,1,47,none,own,1,skilled,1,yes,no
< 0 DM,42,5000,5000,0,good,furniture/appliances,7174,unknown,4 - 7 years,4,3,30,none,own,1,management,1,yes,yes
< 0 DM,10,7000,5110.85,0,critical,furniture/appliances,2132,unknown,< 1 year,2,3,27,none,rent,2,skilled,1,no,no
< 0 DM,33,3000,3000,0,critical,furniture/appliances,4281,500 - 1000 DM,1 - 4 years,1,4,23,none,own,2,skilled,1,no,yes
1 - 200 DM,12,6500,6500,0,critical,car,2366,500 - 1000 DM,4 - 7 years,3,3,36,none,own,1,management,1,yes,no
< 0 DM,21,12000,12000,0,good,furniture/appliances,1835,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes,yes
unknown,24,3000,3000,0,critical,car,3868,< 100 DM,> 7 years,4,2,41,none,rent,2,management,1,yes,no
unknown,12,1000,1000,0,good,furniture/appliances,1768,< 100 DM,1 - 4 years,3,2,24,none,rent,1,unskilled,1,no,no
> 200 DM,10,10000,10000,0,critical,car,781,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,yes,no
1 - 200 DM,18,3600,3600,0,good,furniture/appliances,1924,unknown,< 1 year,4,3,27,none,rent,1,skilled,1,no,yes
< 0 DM,12,6000,6000,0,critical,car,2121,< 100 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,no
< 0 DM,12,9200,9200,0,good,furniture/appliances,701,< 100 DM,1 - 4 years,4,2,40,none,own,1,unskilled,1,no,no
1 - 200 DM,12,20250,20250,0,good,renovations,639,< 100 DM,1 - 4 years,4,2,30,none,own,1,skilled,1,no,yes
1 - 200 DM,12,21000,10694.96,0,critical,car,1860,< 100 DM,unemployed,4,2,34,none,own,2,management,1,yes,no
< 0 DM,12,23750,3422.31,11.99,critical,car,3499,< 100 DM,1 - 4 years,3,2,29,none,own,2,skilled,1,no,yes
1 - 200 DM,48,34975,14635.56,17.67,good,car,8487,unknown,4 - 7 years,1,2,24,none,own,1,skilled,1,no,no
< 0 DM,36,21600,19226.71,10.95,poor,education,6887,< 100 DM,1 - 4 years,4,3,29,store,own,1,skilled,1,yes,yes
unknown,15,25000,5866.03,12.74,good,furniture/appliances,2708,< 100 DM,< 1 year,2,3,27,bank,own,2,unskilled,1,no,no
unknown,18,24000,2923.67,12.24,good,furniture/appliances,1984,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no,no
unknown,60,27575,10070,14.08,good,furniture/appliances,10144,100 - 500 DM,4 - 7 years,2,4,21,none,own,1,skilled,1,yes,no
unknown,12,22550,14480.92,11.53,critical,furniture/appliances,1240,unknown,> 7 years,4,2,38,none,own,2,skilled,1,yes,no
unknown,27,20000,3318.23,10.24,poor,car,8613,> 1000 DM,1 - 4 years,2,2,27,none,own,2,skilled,1,no,no
1 - 200 DM,12,24800,10199.93,12.7,good,furniture/appliances,766,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,no,yes
1 - 200 DM,15,25200,5304.56,12.96,critical,furniture/appliances,2728,unknown,4 - 7 years,4,2,35,bank,own,3,skilled,1,yes,no
> 200 DM,12,20675,13371.26,10.66,good,furniture/appliances,1881,< 100 DM,1 - 4 years,2,2,44,none,rent,1,unskilled,1,yes,no
> 200 DM,6,25000,21667.03,12.9,good,car,709,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no,no
1 - 200 DM,36,11500,2297.68,20.43,good,furniture/appliances,4795,< 100 DM,< 1 year,4,1,30,none,own,1,management,1,yes,no
< 0 DM,27,5000,2968.08,10.04,good,furniture/appliances,3416,< 100 DM,1 - 4 years,3,2,27,none,own,1,management,1,no,no
< 0 DM,18,6000,1776.61,12.06,good,furniture/appliances,2462,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
unknown,21,6000,2679.46,12.06,critical,furniture/appliances,2288,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,yes,no
1 - 200 DM,48,31200,26982.38,62.73,very good,business,3566,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no,no
< 0 DM,6,6000,2957.46,12.07,critical,car,860,< 100 DM,> 7 years,1,4,39,none,own,2,skilled,1,yes,no
unknown,12,11775,2364,23.71,critical,car,682,100 - 500 DM,4 - 7 years,4,3,51,none,own,2,skilled,1,yes,no
< 0 DM,36,8000,2864.94,16.11,critical,furniture/appliances,5371,< 100 DM,1 - 4 years,3,2,28,none,own,2,skilled,1,no,no
unknown,18,5000,1519.56,10.07,critical,furniture/appliances,1582,> 1000 DM,> 7 years,4,4,46,none,own,2,skilled,1,no,no
unknown,6,10000,4054.2,20.15,good,furniture/appliances,1346,100 - 500 DM,> 7 years,2,4,42,bank,other,1,skilled,2,yes,no
unknown,10,9750,6893.19,19.65,good,furniture/appliances,1924,< 100 DM,1 - 4 years,1,4,38,none,own,1,skilled,1,yes,no
> 200 DM,36,15000,12092.16,30.24,good,furniture/appliances,5848,< 100 DM,1 - 4 years,4,1,24,none,own,1,skilled,1,no,no
1 - 200 DM,24,10000,3856.61,20.16,critical,car,7758,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no,no
1 - 200 DM,24,7750,1977.37,15.63,poor,business,6967,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,yes,no
< 0 DM,12,9600,5778.14,19.37,good,furniture/appliances,1282,< 100 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no,yes
< 0 DM,9,6250,2113.42,12.66,critical,renovations,1288,100 - 500 DM,> 7 years,3,4,48,none,own,2,skilled,2,no,no
< 0 DM,12,15850,9919.34,32.13,very good,education,339,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no,no
1 - 200 DM,24,8875,5738.49,18,good,car,3512,100 - 500 DM,4 - 7 years,2,3,38,bank,own,2,skilled,1,yes,no
unknown,6,35000,16637.4,71.01,critical,furniture/appliances,1898,unknown,1 - 4 years,1,2,34,none,own,2,unskilled,2,no,no
unknown,24,20000,15434.18,40.62,critical,furniture/appliances,2872,100 - 500 DM,> 7 years,3,4,36,none,own,1,skilled,2,yes,no
unknown,18,8000,5371.18,16.25,critical,car,1055,< 100 DM,< 1 year,4,1,30,none,own,2,skilled,1,no,no
unknown,15,6725,4738.21,13.71,good,furniture/appliances,1262,500 - 1000 DM,4 - 7 years,4,3,36,none,own,2,skilled,1,yes,no
1 - 200 DM,10,11550,7798.14,23.65,good,car,7308,< 100 DM,unemployed,2,4,70,bank,other,1,management,1,yes,no
unknown,36,21250,6569.76,43.53,good,car,909,500 - 1000 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
unknown,6,6800,3498.2,13.96,good,furniture/appliances,2978,500 - 1000 DM,1 - 4 years,1,2,32,none,own,1,skilled,1,yes,no
< 0 DM,18,7000,3704.24,14.4,good,furniture/appliances,1131,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,no,yes
1 - 200 DM,11,9500,1507.98,19.6,good,furniture/appliances,1577,> 1000 DM,< 1 year,4,1,20,none,own,1,skilled,1,no,no
unknown,24,8000,1695.34,16.53,good,furniture/appliances,3972,< 100 DM,4 - 7 years,2,4,25,none,rent,1,skilled,1,yes,no
1 - 200 DM,24,8250,6059.59,17.07,critical,business,1935,< 100 DM,> 7 years,4,4,31,none,own,2,skilled,1,yes,yes
< 0 DM,15,5000,1452.74,10.35,perfect,car,950,< 100 DM,> 7 years,4,3,33,none,rent,2,skilled,2,no,yes
unknown,12,19000,13454.72,39.54,good,furniture/appliances,763,< 100 DM,1 - 4 years,4,1,26,none,own,1,skilled,1,yes,no
1 - 200 DM,24,8000,4058.24,16.69,poor,furniture/appliances,2064,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes,yes
1 - 200 DM,8,6250,3776.39,13.06,good,furniture/appliances,1414,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,no
< 0 DM,21,10000,5255.97,20.96,poor,education,3414,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,no,yes
unknown,30,5750,3276.65,12.06,very good,car,7485,unknown,unemployed,4,1,53,bank,own,1,management,1,yes,yes
< 0 DM,12,7675,1837.66,16.17,good,furniture/appliances,2577,< 100 DM,1 - 4 years,2,1,42,none,own,1,skilled,1,no,no
< 0 DM,6,7000,5864.06,14.75,critical,furniture/appliances,338,500 - 1000 DM,> 7 years,4,4,52,none,own,2,skilled,1,no,no
unknown,12,7500,2296.96,15.81,good,furniture/appliances,1963,< 100 DM,4 - 7 years,4,2,31,none,rent,2,management,2,yes,no
< 0 DM,21,11200,10435.47,23.62,critical,car,571,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no,no
unknown,36,17475,5807.26,36.86,poor,business,9572,< 100 DM,< 1 year,1,1,28,none,own,2,skilled,1,no,yes
1 - 200 DM,36,5400,3020.36,11.43,poor,business,4455,< 100 DM,1 - 4 years,2,2,30,store,own,2,management,1,yes,yes
< 0 DM,21,5000,2887.54,10.6,very good,car,1647,unknown,1 - 4 years,4,2,40,none,own,2,unskilled,2,no,yes
unknown,24,5000,1583.46,10.6,critical,furniture/appliances,3777,> 1000 DM,1 - 4 years,4,4,50,none,own,1,skilled,1,yes,no
1 - 200 DM,18,5700,386.17,12.13,critical,car,884,< 100 DM,> 7 years,4,4,36,bank,own,1,skilled,2,yes,yes
unknown,15,19000,8818.7,40.53,critical,furniture/appliances,1360,< 100 DM,1 - 4 years,4,2,31,none,own,2,skilled,1,no,no
1 - 200 DM,9,6000,3527.69,12.8,very good,car,5129,< 100 DM,> 7 years,2,4,74,bank,other,1,management,2,yes,yes
1 - 200 DM,16,11000,4936.27,23.49,critical,car,1175,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,yes,no
< 0 DM,12,16800,11966.05,35.88,good,furniture/appliances,674,100 - 500 DM,4 - 7 years,4,1,20,none,own,1,skilled,1,no,yes
1 - 200 DM,18,7000,1166.99,14.96,perfect,furniture/appliances,3244,< 100 DM,1 - 4 years,1,4,33,bank,own,2,skilled,1,yes,no
unknown,24,5500,3529.65,11.76,good,business,4591,> 1000 DM,1 - 4 years,2,3,54,none,own,3,management,1,yes,yes
1 - 200 DM,48,11000,3464,23.54,perfect,business,3844,100 - 500 DM,4 - 7 years,4,4,34,none,other,1,unskilled,2,no,yes
1 - 200 DM,27,6000,3476.02,12.87,good,business,3915,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes,yes
unknown,6,20000,19672.53,42.9,good,furniture/appliances,2108,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no,no
1 - 200 DM,45,10000,3318.85,21.46,good,furniture/appliances,3031,100 - 500 DM,1 - 4 years,4,4,21,none,rent,1,skilled,1,no,yes
1 - 200 DM,9,5000,1924.31,10.74,critical,education,1501,< 100 DM,> 7 years,2,3,34,none,own,2,management,1,yes,yes
unknown,6,10000,3064.66,21.5,critical,furniture/appliances,1382,< 100 DM,1 - 4 years,1,1,28,none,own,2,skilled,1,yes,no
1 - 200 DM,12,6000,1651.61,12.91,good,furniture/appliances,951,100 - 500 DM,< 1 year,4,4,27,bank,rent,4,skilled,1,no,yes
1 - 200 DM,24,9800,6005.85,21.09,good,car,2760,unknown,> 7 years,4,4,36,bank,other,1,skilled,1,yes,no
1 - 200 DM,18,8500,4449.41,18.36,poor,furniture/appliances,4297,< 100 DM,> 7 years,4,3,40,none,own,1,management,1,yes,yes
unknown,9,6000,4988.33,12.98,critical,education,936,500 - 1000 DM,> 7 years,4,2,52,none,own,2,skilled,1,yes,no
< 0 DM,12,5000,3232.4,10.83,good,car,1168,< 100 DM,1 - 4 years,4,3,27,none,own,1,unskilled,1,no,no
unknown,27,5000,2448.45,10.83,poor,business,5117,< 100 DM,4 - 7 years,3,4,26,none,own,2,skilled,1,no,no
